grid mercator 4096x4096 lat_cut 85.0511; GHS-POP block-summed by 5
total 8.1920 bn people; dropped beyond +-85.0511: 44; sigma 3.07 px; max_disp 1.5348422074346335
  level 512x512
  iter start residual 2458.1953 folds 178249
  iter 0 residual 1983.8402 folds 228530 0s
  iter 10 residual 306.0052 folds 228340 0s
  iter 20 residual 77.0092 folds 229329 0s
  iter 30 residual 32.2791 folds 220098 0s
  iter 40 residual 20.5758 folds 119234 0s
  iter 50 residual 16.3270 folds 31155 0s
  iter 60 residual 14.5844 folds 5699 0s
  iter 70 residual 14.0138 folds 2290 0s
  iter 80 residual 14.0293 folds 1360 0s
  iter 90 residual 14.1260 folds 1015 0s
  iter 100 residual 14.1997 folds 872 0s
  iter 110 residual 14.2435 folds 786 0s
  iter 120 residual 14.2664 folds 759 0s
  level 1024x1024
  iter start residual 27.0015 folds 12634
  iter 0 residual 24.5984 folds 181824 0s
  iter 10 residual 13.2927 folds 328036 0s
  iter 20 residual 10.5118 folds 359877 0s
  iter 30 residual 9.4955 folds 306790 0s
  iter 40 residual 9.0173 folds 229874 0s
  iter 50 residual 8.7496 folds 153409 0s
  iter 60 residual 8.5888 folds 91117 0s
  iter 70 residual 8.4800 folds 57919 0s
  iter 80 residual 8.4158 folds 42465 0s
  iter 90 residual 8.3693 folds 36458 1s
  iter 100 residual 8.3375 folds 33901 1s
  iter 110 residual 8.3166 folds 32535 1s
  iter 120 residual 8.2997 folds 29890 1s
  iter 130 residual 8.2849 folds 27983 1s
  iter 140 residual 8.2811 folds 24774 1s
  iter 150 residual 8.2728 folds 22292 1s
  iter 160 residual 8.2703 folds 18854 1s
  iter 170 residual 8.2636 folds 16367 1s
  iter 180 residual 8.2608 folds 13919 1s
  iter 190 residual 8.2605 folds 12580 1s
  iter 200 residual 8.2561 folds 11241 1s
  iter 210 residual 8.2495 folds 10600 1s
  iter 220 residual 8.2510 folds 9811 1s
  iter 230 residual 8.2519 folds 9158 1s
  iter 240 residual 8.2468 folds 8452 1s
  iter 250 residual 8.2448 folds 7825 2s
  iter 260 residual 8.2479 folds 7309 2s
