claim_id,section,claim_kind,claim_text_sha256,evidence_ids,verification_status,uncertainty,analysis_intent
C001,Abstract,factual,a8bbb943370356a8c0176324298830aa5b7e4c71f8ba87945e503795b576d7bc,E001;E002;E018,verified,not_applicable,not_applicable
C002,Abstract,factual,cca7d28e67fd8e350f1a15d9001df6691c2123e6e91324bde175bc765e3f610a,E003;E004,verified,not_applicable,not_applicable
C003,Abstract,numeric,c3b131b2f9dec934da797e4181488f619c90b8954fceaba0fa066d3b5612b407,E006;E028;E101,verified,not_estimated,descriptive
C004,Abstract,numeric,853970b5da5288b045f704d7b9fc0500856966e1e47ca69caf08ffb87af547e6,E101,verified,not_estimated,descriptive
C005,Abstract,numeric,611e46fadf6f44389098cc437a813b93035443bdf35fecf746a24a33acf2e27d,E102;E103,verified,not_estimated,descriptive
C006,Abstract,factual,42423c15dd180204cba27dac2682c7c623e3e9756d55753f0f093a34c8fc67e0,E104,verified,not_applicable,not_applicable
C007,1. Introduction,numeric,6ce54bda409e5bb415f6145426eba19d862a653093b0d8bccc594f0754450b14,E001;E002;E016;E018;E019,verified,not_estimated,descriptive
C008,1. Introduction,factual,d15bc133e65d9f79af4778dbfa55ab1dc5fcfa017c6ff1d51366dff9a3f5804d,E001;E002;E018,verified,not_applicable,not_applicable
C038,1. Introduction,numeric,c6cf005579c0432de9d5bef8c06b0746d3f3f05cd5f4f530f783dcb0f56ecee3,E003,verified,not_estimated,descriptive
C009,1. Introduction,numeric,0d14ba736cbb78dbc413a1480ae1f166882b3da8e08ee4b9a298112bcadd29a7,E003;E004;E005,verified,not_estimated,descriptive
C010,1. Introduction,numeric,0d6a1dbea57f099b4000dbc08cb5aff209f14be6e28717ef17d8d545f8123f59,E003;E004,verified,not_estimated,descriptive
C011,1. Introduction,numeric,42c980f3377e9aeb9f8705f658fc993ea7378422cbec7566544ec2d9639d8e3f,E010;E011;E012;E013;E014,verified,not_estimated,descriptive
C012,1. Introduction,numeric,7b426069e6bdc5ebedb7d4e6064ed6d6528aa8b238d78ec07d93adf2f91fee1f,E002;E015;E020;E021;E022;E105,verified,not_estimated,descriptive
C013,1. Introduction,numeric,104e7970f08989e5badb4c23322c8eec851ec237a5435f0df1a372512975fcab,E006;E007;E008;E009,verified,not_estimated,descriptive
C014,2.1 The population measure,numeric,53b9d1e219e6430606bf0446af1dff135a23e1606e9bcc11e7abf3496b1e2777,E028;E101,verified,not_estimated,descriptive
C015,2.1 The population measure,numeric,ea3eac58f9e897a80bf039913e7ae209fc66fc9ec0b6280ebf8445156bf03cf9,E015;E101,verified,not_estimated,descriptive
C016,2.2 The transport map,numeric,8316f8550c601c0b60fb439abaf561bf4623630cccf98fcda00e52f81ba9130d,E006;E101,verified,not_estimated,descriptive
C017,2.2 The transport map,numeric,21e1938d3aa55c1cb761336e45d294f8186824f3535890c7776bcb95df6776a7,E006;E101,verified,not_estimated,descriptive
C018,2.2 The transport map,factual,5621f4cf46b1ee12fbffe6180812152f65a23123d7c05ab5752d5a0abb067c28,E101,verified,not_applicable,not_applicable
C019,2.3 The diffusion baseline,numeric,539e6158bfc7350417e183f06f05c4e62f15c4c5915545d6c12464a1dc55f089,E001;E101,verified,not_estimated,descriptive
C020,2.3 The diffusion baseline,numeric,1b340dc9b19744aa765e89e4c1632b6dc796b60d8f2169d25243b11aeb008eb7,E002;E101,verified,not_estimated,descriptive
C021,2.4 Measurements,numeric,c2040abb1d06991ba0d46f0158b0d99a6361cb1d5ae6a2a64dd1610760682873,E029;E101,verified,not_estimated,descriptive
C022,2.5 Local refinement,numeric,dfe0b762742369cb9de69ae6e8b8378a48fb059f73b471f3d9c1234ac9be9dc7,E024;E102,verified,not_estimated,descriptive
C023,2.6 The semi-discrete counterpart,numeric,59a83f15834845c42342875f1a0defb96f3ef76c20efca52a70b889df38bc8e8,E025;E026;E027;E103,verified,not_estimated,descriptive
C024,3. Results,numeric,a408b74986fc81de2c3fa7b8df103f9d187384ae61297d7093cea2c194adfaa8,E101,verified,not_estimated,descriptive
C039,3. Results,numeric,11bfe2972ae9d7dc5dce59ed27c7e16e04ccf01602fa0b7d2bfed401a68f260d,E101,verified,not_estimated,descriptive
C040,3. Results,numeric,8f6aa3415f1ce6c90feb4a6184a7da3350099002b69778356ae03cee2065a23a,E101,verified,not_estimated,descriptive
C025,3. Results,numeric,dd9b8424ec6b3e0d149b0aa074a96cfe86c95ef220a499e4a2a31f45ede49562,E101,verified,not_estimated,descriptive
C041,3. Results,numeric,ed9494f73ae8dd4d0d8228ac8d7b3045fd8b53d14c816383f914205c6e7d55bc,E101,verified,not_estimated,descriptive
C026,3. Results,numeric,e48b9a3c2e3b2ff91666c873f918381999a65a1342b064019dbedc7bd1afe2b6,E101,verified,not_estimated,descriptive
C027,3. Results,numeric,c1ca2efb34f5e7c8dbe849c3f4bcddc41ff5e5649c1c1b96cefdd8fd80ce1c04,E101,verified,not_estimated,descriptive
C028,3. Results,numeric,c9a49a8cb1fb9fe6c9623df5e480f3f295669ba3c24977ee0113bc0657537eda,E101,verified,not_estimated,descriptive
C042,3. Results,numeric,bfa7c572c22597dde2da5c728366816941461017efe1dc173d5899c1f4ad3c61,E101,verified,not_estimated,descriptive
C043,3. Results,numeric,e68cdce8b50de6cd674d8a4ea1dabdad1e489156a0d17c284056cb9560938538,E101,verified,not_estimated,descriptive
C029,3. Results,numeric,5116e259c830e41fa48a6ef0a727fc4f2d2866a48fcf0c6e25f566f196779844,E101,verified,not_estimated,descriptive
C030,3. Results,numeric,08722440cbf344e9b5123ff1c8563f39228e2b7c42711dd8cab0f82c243ebfe0,E102,verified,not_estimated,descriptive
C044,3. Results,numeric,ccf8eda592efd3ede7081c13043ba51ce690cafbf02189f8c234b272b53adfb5,E102,verified,not_estimated,descriptive
C031,3. Results,numeric,69f42249985ce69f97aaade50dd6af086d8decb3f64797de784d7df180262512,E103,verified,not_estimated,descriptive
C045,3. Results,numeric,70e1efe2c94c9428536fdd79a3d9cf7e7575b3570a78a4d63bf9b6d48fd9dbde,E103,verified,not_estimated,descriptive
C032,4. Discussion,numeric,4db21e2f8b86955a7372f47c5ea18cad33fec7c21c8e980ff413d36ce470fc82,E101,verified,not_estimated,descriptive
C033,4. Discussion,numeric,ce41bec08faab097036384bcc129aa69b20bc803833c23823a835b7980d2dca8,E009;E012;E021;E101,verified,not_estimated,descriptive
C034,4. Discussion,numeric,87daaa17c6980151cb8c009eca6b4c867ed27e265460dd30246d1c23d61940a2,E016;E017;E101,verified,not_estimated,descriptive
C035,Data and code availability {-},numeric,24843f5fbd67aa661011d86c472af56f7f72c76da1b0025a27bdc3a52ae015fc,E028;E029;E104,verified,not_estimated,descriptive
C036,Funding {-},factual,d9e371e63ce3692b008cd56145b56a407df0cdb640e352632f5eee3af67c7d92,E104,verified,not_applicable,not_applicable
C037,Competing interests {-},factual,4896f231a08f7e7a52a1952b395b107d83644b1c81757a41cb2f426a9b82e2f5,E104,verified,not_applicable,not_applicable
